FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS
2010,06-15-2010,1315,0,1315,0.5,B
2010,06-17-2010,1035,0,1035,9.5,B
2010,06-01-2010,1851,0,1851,9.5,B
2010,06-13-2010,1300,0,1300,1.5,B
2010,06-15-2010,1111,0,1111,1.4,B
2010,06-15-2010,1350,0,1350,1,B
2010,06-15-2010,1426,0,1426,1,B
2010,06-15-2010,1415,0,1415,2,B
2010,06-14-2010,,0,,54,C
2010,06-18-2010,1430,0,1430,16,C
2010,06-16-2010,1155,0,1155,5,B
2010,06-18-2010,2004,0,2004,0.1,A
2010,06-17-2010,1239,0,1239,5,B
2010,06-17-2010,1444,3,1444,0.1,A
2010,06-17-2010,,0,,2,B
2010,06-15-2010,1638,0,1638,9.5,B
2010,06-17-2010,1810,0,1810,0.2,A
2010,06-16-2010,1711,0,1711,0.1,A
2010,06-17-2010,1200,0,1200,1.5,B
2010,06-16-2010,,0,,0.7,B
2010,06-17-2010,1800,1,1800,8.5,B
2010,06-20-2010,1311,0,1311,0.1,A
2010,06-18-2010,1210,0,1210,5,B
2010,06-20-2010,1226,0,1226,0.1,A
2010,06-20-2010,1405,0,1405,0.2,A
2010,06-20-2010,1441,0,1441,1,B
2010,06-15-2010,1410,0,1410,1.5,B
2010,06-16-2010,1410,0,1410,0.1,A
2010,06-18-2010,1323,0,1323,0.1,A
2010,06-15-2010,,0,,5,B
2010,06-18-2010,1445,0,1445,0.3,B
2010,06-17-2010,1915,0,1915,10,C
2010,06-20-2010,1245,0,1245,1.5,B
2010,06-20-2010,1515,0,1515,2,B
2010,06-20-2010,1255,0,1255,2,B
2010,06-20-2010,1904,0,1904,1,B
2010,06-18-2010,1330,0,1330,15,C
2010,06-19-2010,1310,0,1310,0.2,A
2010,06-18-2010,,0,,0.1,A
2010,06-19-2010,1730,0,1730,10,C
2010,06-19-2010,1700,2,1700,5,B
2010,06-16-2010,1850,1,1850,0.3,B
2010,06-15-2010,1726,0,1726,7,B
2010,06-17-2010,1331,0,1331,50,C
2010,06-14-2010,1628,2,1628,65,C
2010,06-17-2010,1720,0,1720,23.8,C
2010,06-17-2010,1350,0,1350,40,C
2010,06-16-2010,1245,0,1245,0.1,A
2010,06-20-2010,1702,0,1702,3,B
2010,06-17-2010,1417,0,1417,50,C
2010,06-16-2010,,0,,0.3,B
2010,06-20-2010,1334,0,1334,20,C
2010,06-17-2010,1859,0,1859,8,B
2010,06-17-2010,1609,0,1609,0.6,B
2010,06-17-2010,1453,0,1453,6.2,B
2010,06-19-2010,1800,0,1800,55.6,C
2010,06-18-2010,1620,0,1620,50,C
2010,06-16-2010,1602,0,1602,2,B
2010,06-14-2010,1622,1,1622,60,C
2010,06-15-2010,1300,0,1300,1,B
2010,06-15-2010,1534,2,1534,277,D
2010,06-22-2010,1519,0,1519,0.1,A
2010,06-15-2010,1435,0,1435,7.3,B
2010,06-18-2010,1245,0,1245,0.1,A
2010,06-18-2010,1535,0,1535,0.5,B
2010,06-18-2010,1510,3,1510,0.7,B
2010,06-17-2010,1645,6,1645,45,C
2010,06-16-2010,,0,,11,C
2010,06-16-2010,1815,0,1815,3.6,B
2010,06-18-2010,1321,0,1321,2,B
2010,06-22-2010,1800,0,1800,10,C
2010,06-21-2010,1632,0,1632,0.1,A
2010,06-15-2010,2023,0,2023,8,B
2010,06-21-2010,1830,1,1830,0.5,B
2010,06-17-2010,1020,0,1020,0.1,A
2010,06-15-2010,1855,0,1855,0.2,A
2010,06-22-2010,1420,0,1420,12,C
2010,06-18-2010,1328,0,1328,2.3,B
2010,06-21-2010,1730,0,1730,10,C
2010,06-21-2010,2100,0,2100,1,B
2010,06-16-2010,1730,1,1730,0.7,B
2010,06-19-2010,1615,0,1615,3,B
2010,06-25-2010,1510,0,1510,0.5,B
2010,06-25-2010,2302,1,2302,2,B
2010,06-16-2010,1003,0,1003,5,B
2010,06-25-2010,2200,1,2200,0.3,B
2010,06-18-2010,,0,,0.1,A
2010,06-15-2010,1745,0,1745,1.5,B
2010,06-23-2010,1545,0,1545,8.2,B
2010,06-26-2010,,0,,0.1,A
2010,06-26-2010,1525,0,1525,0.1,A
2010,06-26-2010,2015,0,2015,2,B
2010,06-18-2010,1915,0,1915,5,B
2010,06-16-2010,1630,1,1630,60,C
2010,06-18-2010,1622,0,1622,4,B
2010,06-20-2010,1513,0,1513,25,C
2010,06-21-2010,1116,0,1116,6,B
2010,06-21-2010,1600,0,1600,0.1,A
2010,06-27-2010,1505,0,1505,2,B
2010,06-27-2010,1810,0,1810,5,B
2010,06-18-2010,1405,0,1405,30,C
2010,06-26-2010,1652,0,1652,2,B
2010,06-22-2010,1325,0,1325,3,B
2010,06-23-2010,1735,0,1735,8,B
2010,06-26-2010,2043,0,2043,10,C
2010,06-04-2010,,0,,16,C
2010,06-27-2010,1210,0,1210,3,B
2010,06-13-2010,1300,0,1300,4,B
2010,06-28-2010,1250,0,1250,1,B
2010,06-22-2010,1520,0,1520,0.5,B
2010,06-28-2010,1542,0,1542,0.1,A
2010,06-26-2010,1700,0,1700,6,B
2010,06-18-2010,1300,3,1300,1,B
2010,06-25-2010,1910,0,1910,5.5,B
2010,06-27-2010,1528,0,1528,1,B
2010,06-27-2010,1840,0,1840,9,B
2010,06-28-2010,2100,0,2100,0.1,A
2010,06-24-2010,,0,,0.8,B
2010,06-28-2010,,0,,25,C
2010,06-22-2010,1415,0,1415,23.5,C
2010,06-27-2010,1830,0,1830,0.1,A
2010,06-12-2010,1515,2,1515,174.6,D
2010,06-20-2010,1900,0,1900,2,B
2010,06-28-2010,1045,0,1045,0.1,A
2010,06-21-2010,1300,0,1300,8,B
2010,06-28-2010,1410,0,1410,0.1,A
2010,06-27-2010,1645,0,1645,13,C
2010,06-27-2010,2355,1,2355,4,B
2010,06-21-2010,1358,0,1358,0.7,B
2010,06-16-2010,,14,,3,B
2010,06-18-2010,1507,0,1507,0.1,A
2010,06-27-2010,,3,,175,D
2010,06-21-2010,1549,0,1549,11,C
2010,06-16-2010,,0,,6,B
2010,06-27-2010,1715,0,1715,3,B
2010,06-27-2010,1600,0,1600,5,B
2010,06-30-2010,1255,0,1255,0.5,B
2010,06-22-2010,1301,0,1301,0.4,B
2010,06-27-2010,1930,0,1930,5,B
2010,06-27-2010,2000,0,2000,30,C
2010,06-27-2010,1530,0,1530,3,B
2010,06-18-2010,1520,7,1520,5,B
2010,06-29-2010,,0,,13.5,C
2010,06-21-2010,,0,,0.3,B
2010,06-28-2010,1900,0,1900,0.3,B
2010,06-28-2010,1505,0,1505,2,B
2010,06-29-2010,1410,0,1410,0.5,B
2010,06-27-2010,2014,1,2014,4,B
2010,06-29-2010,1932,0,1932,0.2,A
2010,06-27-2010,1340,1,1340,109,D
2010,06-27-2010,1630,0,1630,0.1,A
2010,06-23-2010,1800,7,1800,15,C
2010,06-27-2010,1530,0,1530,4.5,B
2010,06-29-2010,2030,1,2030,53,C
2010,06-27-2010,1750,0,1750,1.5,B
2010,06-27-2010,1628,0,1628,2,B
2010,06-16-2010,1546,0,1546,11,C
2010,06-22-2010,,0,,11,C
2010,06-28-2010,1045,0,1045,0.5,B
2010,06-28-2010,1130,0,1130,2,B
2010,06-27-2010,1310,1,1310,0.2,A
2010,06-23-2010,1150,0,1150,36,C
2010,06-22-2010,1318,0,1318,3,B
2010,06-22-2010,1324,0,1324,4,B
2010,06-21-2010,1456,0,1456,1.5,B
2010,06-27-2010,1755,0,1755,6,B
2010,06-27-2010,1357,0,1357,2,B
2010,06-28-2010,1255,0,1255,0.1,A
2010,06-27-2010,2340,1,2340,18,C
2010,06-27-2010,2030,1,2030,5,B
2010,06-29-2010,,0,,0.5,B
2010,06-23-2010,,0,,3.8,B
2010,06-27-2010,1630,0,1630,1.5,B
2010,06-27-2010,1530,0,1530,0.5,B
2010,06-28-2010,1300,0,1300,2.5,B
2010,06-29-2010,1405,0,1405,1.5,B
2010,06-19-2010,2130,5,2130,15,C
2010,06-27-2010,,0,,15,C
2010,06-29-2010,1610,0,1610,3,B
2010,04-04-2010,1830,4,1830,0.3,B
2010,10-29-2010,1645,0,1645,1.5,B
2010,08-10-2010,1400,10,1800,569,E
2010,08-03-2010,1809,,,2000,F
2010,08-18-2010,1900,0,2240,209,D
2010,07-25-2010,,,,677,E
2010,06-23-2010,926,3,1500,3046,F
2010,04-20-2010,,,,0.25,A
2010,04-28-2010,,,,3,B
2010,05-28-2010,,0,,0.1,A
2010,05-28-2010,,0,,0.1,A
2010,06-15-2010,,0,,13,C
2010,06-16-2010,,0,,18,C
2010,06-18-2010,,0,,15.2,C
2010,06-21-2010,,0,,35,C
2010,07-10-2010,,0,,3,B
2010,07-10-2010,,0,,25.25,C
2010,07-11-2010,,0,,35,C
2010,07-21-2010,,0,,13,C
