FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,FIPS_CODE,FIPS_NAME
2006,05-31-2000,,6,,100,D,34.65559998,-104.0482,NM,37,Quay
1999,1999,2000,8,1335,100,D,29.566,-94.4667,TX,,
1999,1999,1605,14,0,100,D,42.310462,-119.845533,OR,,
1999,1999,,1,,100,D,44.44561,-119.41213,OR,23,Grant
2007,06-13-1993,,7,,100,D,28.43,-82.03,FL,119,Sumter
1999,1999,,19,,100,D,35.21666666,-107.5333333,NM,,
1999,1999,,16,,100,D,44.9283,-119.36971,OR,23,Grant
1999,1999,,16,,100,D,40.48333333,-115.8,NV,,
1999,1999,,7,,100.3,D,64.46288,-146.3408,AK,,
1999,1999,,19,,100.4,D,30.26028,-97.27695,TX,21,Bastrop
2006,06-14-2006,,6,,101,D,45.29209998,-101.9253,SD,,
2006,06-14-2008,,6,,101,D,33.77505,-98.25819,TX,77,Clay
2007,06-15-1992,,2,,101,D,27.03,-82.26,FL,115,Sarasota
2005,06-15-2007,,17,,101,D,26.77305999,-80.38415999,FL,99,Palm Beach
1999,1999,,17,,101,D,64.8242,-145.5506,AK,,
2006,06-15-2008,,4,,101,D,33.13764,-98.48597,TX,503,Young
2008,06-16-2001,,16,,101,D,26.4722,-81.8461,FL,71,Lee
1999,1999,824,19,1030,101,D,42.86666667,-100.2333333,NE,,
2008,06-16-2001,,7,,101.26,D,27.2019,-81.5042,FL,55,Highlands
2006,06-16-2006,,13,,101.5,D,36.09083,-104.5319,NM,33,Mora
2006,06-16-2006,,4,,102,D,32.04354,-101.042,TX,431,Sterling
2006,06-16-2006,,12,,102,D,31.77899002,-101.1265,TX,431,Sterling
2006,06-16-2006,,20,,102,D,36.19454998,-101.4311,TX,195,Hansford
2005,06-17-2001,1730,10,730,102,D,26.3972222,-80.25,FL,,
2006,06-17-2008,,13,,102,D,33.9303,-101.7498,TX,189,Hale
1999,1999,,2,,102,D,26.34,-81.7,FL,71,Lee
2006,06-17-2008,,9,,102,D,31.09565,-100.6408,TX,451,Tom Green
2006,06-18-2008,,7,,102,D,34.80828,-101.8127,TX,381,Randall
2007,06-19-1998,,18,,102,D,29.15,-81.48,FL,127,Volusia
2007,06-20-1998,,20,,102,D,27,-81.28,FL,43,Glades
2007,06-21-1993,,18,,102,D,25.97,-81.5,FL,21,Collier
1999,1999,,19,,102.14,D,62.90886,-156.781,AK,,
2007,06-21-1998,,7,,102.6,D,26.99,-80.12,FL,85,Martin
2005,06-21-2001,,7,,103,D,60.75388,-155.1479,AK,,
2006,06-21-2006,,15,,103,D,34.54902001,-80.00552001,SC,25,Chesterfield
2008,06-22-2000,,19,,103,D,27.55,-82.18,FL,81,Manatee
2008,06-23-1992,,5,,103,D,39.95111111,-122.3369444,CA,,
2007,06-23-1998,,18,,103,D,30.27,-85.28,FL,13,Calhoun
1999,1999,,5,,103,D,63.75404,-141.4157,AK,,
1999,1999,,6,,103,D,63.38389,-141.027,AK,,
1999,1999,945,9,,103,D,65.1993,-164.3026,AK,,
2008,06-23-2000,,10,,103.8,D,28.22,-80.9,FL,97,Osceola
2009,06-23-2008,2107,4,10,104,D,31.034899,-86.810649,AL,53,Escambia
2005,06-23-2009,,17,,104,D,26.55139,-82.09639,FL,71,Lee
2005,06-24-2005,,1,,104,D,34.6004142,-113.232029,AZ,,
2007,06-25-1993,,2,,104,D,28.34,-81.14,FL,97,Osceola
2000,2000,1503,16,1600,104,D,44.28954585,-106.5447827,WY,,
2000,2000,1730,17,,104,D,26.6125,-80.4305556,FL,,
2000,2000,1200,13,1401,104.1,D,35.485,-118.5013889,CA,,
2000,2000,,6,,104.13,D,41.33333333,-114.35,NV,,
2000,2000,,6,,104.8,D,41.08333333,-115.75,NV,,
2007,06-26-1998,,4,,104.9,D,27.52,-80.8,FL,93,Okeechobee
2000,2000,,19,,105,D,28.44,-80.81,FL,9,Brevard
2000,2000,,20,,105,D,31.01041999,-95.11875001,TX,455,Trinity
2000,2000,,2,,105,D,30.25624999,-94.99375001,TX,291,Liberty
2005,06-26-2004,,18,,105,D,27.68528001,-81.55139001,FL,105,Polk
2000,2000,1245,2,,105,D,34.3377,-109.5029,AZ,,
2000,2000,,11,,105,D,46.4116,-107.6309,MT,103,Treasure
2009,06-26-2010,1004,13,900,105,D,32.2733333,-104.734167,NM,15,Eddy
2008,06-27-2002,,7,,105,D,30.5475,-82.8061,FL,47,Hamilton
2000,2000,2030,4,,105,D,31.7878,-111.5358,AZ,,
2000,2000,1455,3,,105,D,35.4991,-113.0551,AZ,,
2006,06-28-2008,,10,,105,D,31.29491,-99.53031,TX,95,Concho
2006,06-28-2008,,8,,105,D,32.64182,-102.7349,TX,165,Gaines
2005,06-28-2009,,1,,105,D,27.65111,-80.88306,FL,97,Osceola
2006,06-29-2005,,5,,105,D,32.93900059,-93.1975287,LA,27,Claiborne
2007,06-30-1997,,6,,105,D,26.15,-80.35,FL,11,Broward
2010,06-30-2001,,18,,105,D,39.95,-106.55,CO,,
2000,2000,,7,,105,D,34.63333333,-95.7,OK,,
2005,06-30-2004,,2,,105,D,26.26999998,-80.40249998,FL,11,Broward
2007,07-13-1997,,7,,105.6,D,26.37,-80.29,FL,99,Palm Beach
2008,07-13-2000,,4,,106,D,27.18,-80.46,FL,85,Martin
2006,07-13-2006,,4,,106,D,43.7735,-101.5087,SD,,
2000,2000,,16,,106,D,28.19,-82.23,FL,101,Pasco
2000,2000,,5,,106,D,28.15,-82.2,FL,57,Hillsborough
2000,2000,,7,,107,D,26.46,-81.7,FL,71,Lee
2000,2000,,8,,107,D,31.38009998,-108.8638,NM,23,Hidalgo
2000,2000,,18,,107,D,28.37,-81.1,FL,95,Orange
2000,2000,,1,,107,D,36.12500002,-105.0089,NM,33,Mora
2000,2000,1500,4,0,107.2,D,36.43154,-116.4028,NV,,
2005,07-13-2007,1300,4,1900,107.7,D,46.59944444,-119.3819444,WA,,
2007,07-14-1997,,5,,108,D,26.05,-80.56,FL,11,Broward
2005,07-14-2003,,13,,108,D,38.27,-100.08,KS,,
2009,07-14-2003,2015,12,,108,D,31.3965,-110.5847,AZ,,
2000,2000,930,19,2100,108,D,41.55,-102.0833333,NE,,
2007,07-15-1992,,17,,108,D,29.62,-81.3,FL,35,Flagler
2000,2000,,19,,108.8,D,30.43333333,-103.0333333,TX,,
2007,07-15-1992,,16,,109,D,28.71,-82.18,FL,119,Sumter
2006,07-16-2005,,17,,109,D,44.27049998,-102.3844,SD,,
2006,07-16-2005,,7,,109,D,44.39430999,-102.5915,SD,,
2006,07-16-2006,,11,,109,D,44.96249998,-100.2966,SD,,
2000,2000,,9,,109,D,26.81,-81.52,FL,43,Glades
2000,2000,,8,,109.6,D,27.17,-81.62,FL,27,De Soto
